0,9,14,10,13,14,14,12,17,1,13,15,14,13,0,0,2,14,0,15,0,14,0,0,1,1,0,1,2,0,2,20,3,4
9,0,9,5,1,1,1,5,3,1,1,1,2,6,0,0,0,7,0,8,0,7,0,0,0,0,0,1,1,0,11,1,2,3
14,9,0,6,1,1,1,6,9,10,1,1,2,7,1,1,0,2,1,2,1,2,1,2,1,0,0,12,11,1,3,3,18,6
10,5,6,0,1,1,1,2,2,1,1,1,4,3,0,0,0,2,0,2,0,2,0,0,0,0,0,1,1,0,1,1,1,1
13,1,1,1,0,3,3,1,1,0,2,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
14,1,1,1,3,0,2,1,1,0,3,1,1,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
14,1,1,1,3,2,0,1,1,0,3,1,1,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12,5,6,2,1,1,1,0,2,1,1,1,2,4,0,0,0,2,0,2,0,2,0,0,0,0,0,1,1,0,1,1,1,0
17,3,9,2,1,1,1,2,0,2,1,1,1,3,2,2,0,1,2,2,2,1,2,2,0,0,1,2,2,2,3,3,9,16
1,1,10,1,0,0,0,1,2,0,0,0,0,2,1,1,0,0,1,1,1,0,1,1,0,0,1,2,2,1,1,1,2,17
13,1,1,1,2,3,3,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
15,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
14,2,2,4,1,1,1,2,1,0,1,1,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
13,6,7,3,1,1,1,4,3,2,1,1,2,0,1,1,0,2,1,3,1,2,1,1,0,0,1,2,2,1,2,2,2,20
0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,2,0,0,2,1,2,0,2,2,0,0,1,1,1,2,2,2,10,15
0,0,1,0,0,0,0,0,2,1,0,0,0,1,2,0,0,0,2,1,2,0,2,2,0,0,1,1,1,2,2,2,10,15
2,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,7,2,2,1,1,1,2,1,0,1,1,1,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,1,0,0
0,0,1,0,0,0,0,0,2,1,0,0,0,1,2,2,0,0,0,1,2,0,2,2,0,0,1,1,1,2,2,2,10,15
15,8,2,2,1,1,1,2,2,1,1,1,1,3,1,1,0,2,1,0,1,2,1,1,0,0,1,1,1,1,2,2,1,18
0,0,1,0,0,0,0,0,2,1,0,0,0,1,2,2,0,0,2,1,0,0,2,2,0,0,1,1,1,2,2,2,10,15
14,7,2,2,1,1,1,2,1,0,1,1,1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,1,0,0,0,0,0,2,1,0,0,0,1,2,2,0,0,2,1,2,0,0,2,0,0,1,1,1,2,2,2,10,15
0,0,2,0,0,0,0,0,2,1,0,0,0,1,2,2,0,0,2,1,2,0,2,0,2,6,2,5,1,3,2,3,11,14
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,5,1,0,0,5,1,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,2,1,1,0,5,2,2
0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,2,0,0,0,1,1,2,1,1,2,15
1,1,12,1,0,0,0,1,2,2,0,0,0,2,1,1,0,0,1,1,1,0,1,5,5,2,1,0,2,2,1,2,3,17
2,1,11,1,0,0,0,1,2,2,0,0,0,2,1,1,0,0,1,1,1,0,1,1,1,1,1,2,0,1,1,5,3,16
0,0,1,0,0,0,0,0,2,1,0,0,0,1,2,2,0,0,2,1,2,0,2,3,0,1,2,2,1,0,2,2,10,13
2,11,3,1,0,0,0,1,3,1,0,0,0,2,2,2,0,1,2,2,2,1,2,2,0,0,1,1,1,2,0,2,10,15
20,1,3,1,1,1,1,1,3,1,1,1,1,2,2,2,0,1,2,2,2,1,2,3,5,5,1,2,5,2,2,0,14,17
3,2,18,1,0,0,0,1,9,2,0,0,0,2,10,10,0,0,10,1,10,0,10,11,1,2,2,3,3,10,10,14,0,7
4,3,6,1,0,0,0,0,16,17,0,0,0,20,15,15,0,0,15,18,15,0,15,14,2,2,15,17,16,13,15,17,7,0
